"publisherName","gameName","foundedBy","foundedDate"
"Capcom Co. Ltd.","Devil May Cry 3: Dante's Awakening","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Devil May Cry 4","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Devil May Cry 4: Special Edition","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Devil May Cry 5","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Alien vs. Predator","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Anno 1800","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Anno 2205","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Anno Online","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Horsez","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Devolver Digital Inc.","Hotline Miami","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Devolver Digital Inc.","Hotline Miami 2: Wrong Number","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Bethesda Softworks LLC","Hunted: The Demon's Forge","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Capcom Co. Ltd.","Hyper Street Fighter II: The Anniversary Edition","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Crazy Monkeyz","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Petz: Dogz 2 / Petz: Catz 2","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Petz Rescue: Ocean Patrol","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Petz Sports","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Devolver Digital Inc.","Reigns: Game of Thrones","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Devolver Digital Inc.","Reigns: Her Majesty","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Devolver Digital Inc.","Reigns","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Capcom Co. Ltd.","Remember Me","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
