"publisherName","game","gameName"
"Capcom","http://dbpedia.org/resource/Lost_Planet_2","Lost Planet 2"
"Capcom","http://dbpedia.org/resource/Lost_Planet_3","Lost Planet 3"
"Capcom","http://dbpedia.org/resource/Lost_Planet:_Extreme_Condition","Lost Planet: Extreme Condition"
"Capcom","http://dbpedia.org/resource/Magic_Sword_(video_game)","Magic Sword (video game)"
"Capcom","http://dbpedia.org/resource/Major_Damage","Major Damage"
"Capcom","http://dbpedia.org/resource/Mars_Matrix","Mars Matrix"
"Capcom","http://dbpedia.org/resource/Marvel_Super_Heroes_(video_game)","Marvel Super Heroes (video game)"
"Capcom","http://dbpedia.org/resource/Marvel_Super_Heroes_in_War_of_the_Gems","Marvel Super Heroes in War of the Gems"
"Capcom","http://dbpedia.org/resource/Marvel_Super_Heroes_vs._Street_Fighter","Marvel Super Heroes vs. Street Fighter"
"Capcom","http://dbpedia.org/resource/Marvel_vs._Capcom_2:_New_Age_of_Heroes","Marvel vs. Capcom 2: New Age of Heroes"
"Capcom","http://dbpedia.org/resource/Marvel_vs._Capcom_3:_Fate_of_Two_Worlds","Marvel vs. Capcom 3: Fate of Two Worlds"
"Capcom","http://dbpedia.org/resource/Marvel_vs._Capcom_Origins","Marvel vs. Capcom Origins"
"Capcom","http://dbpedia.org/resource/Marvel_vs._Capcom:_Clash_of_Super_Heroes","Marvel vs. Capcom: Clash of Super Heroes"
"Capcom","http://dbpedia.org/resource/Marvel_vs._Capcom:_Infinite","Marvel vs. Capcom: Infinite"
"Capcom","http://dbpedia.org/resource/Maverick_Hunter","Maverick Hunter"
"Capcom","http://dbpedia.org/resource/Maximo_vs._Army_of_Zin","Maximo vs. Army of Zin"
"Capcom","http://dbpedia.org/resource/Maximo:_Ghosts_to_Glory","Maximo: Ghosts to Glory"
"Capcom","http://dbpedia.org/resource/Mega_Man_&_Bass","Mega Man & Bass"
"Capcom","http://dbpedia.org/resource/Mega_Man_(1987_video_game)","Mega Man (1987 video game)"
"Capcom","http://dbpedia.org/resource/Mega_Man_(1990_video_game)","Mega Man (1990 video game)"
"Capcom","http://dbpedia.org/resource/Mega_Man_10","Mega Man 10"
"Capcom","http://dbpedia.org/resource/Mega_Man_11","Mega Man 11"
"Capcom","http://dbpedia.org/resource/Mega_Man_2","Mega Man 2"
"Capcom","http://dbpedia.org/resource/Mega_Man_2:_The_Power_Fighters","Mega Man 2: The Power Fighters"
"Capcom","http://dbpedia.org/resource/Mega_Man_7","Mega Man 7"
"Capcom","http://dbpedia.org/resource/Mega_Man_9","Mega Man 9"
"Capcom","http://dbpedia.org/resource/Mega_Man_Anniversary_Collection","Mega Man Anniversary Collection"
"Capcom","http://dbpedia.org/resource/Mega_Man_Battle_Chip_Challenge","Mega Man Battle Chip Challenge"
"Capcom","http://dbpedia.org/resource/Mega_Man_Battle_Network_3","Mega Man Battle Network 3"
"Capcom","http://dbpedia.org/resource/Mega_Man_Battle_Network_4","Mega Man Battle Network 4"
"Capcom","http://dbpedia.org/resource/Mega_Man_Battle_Network_5","Mega Man Battle Network 5"
"Capcom","http://dbpedia.org/resource/Mega_Man_Battle_Network_6","Mega Man Battle Network 6"
"Capcom","http://dbpedia.org/resource/Mega_Man_II_(Game_Boy)","Mega Man II (Game Boy)"
"Capcom","http://dbpedia.org/resource/Mega_Man_III_(Game_Boy)","Mega Man III (Game Boy)"
"Capcom","http://dbpedia.org/resource/Mega_Man_IV_(Game_Boy)","Mega Man IV (Game Boy)"
"Capcom","http://dbpedia.org/resource/Mega_Man_Legacy_Collection","Mega Man Legacy Collection"
"Capcom","http://dbpedia.org/resource/Mega_Man_Legends_2","Mega Man Legends 2"
"Capcom","http://dbpedia.org/resource/Mega_Man_Legends_3","Mega Man Legends 3"
"Capcom","http://dbpedia.org/resource/Mega_Man_Maverick_Hunter_X","Mega Man Maverick Hunter X"
"Capcom","http://dbpedia.org/resource/Mega_Man_Network_Transmission","Mega Man Network Transmission"
"Capcom","http://dbpedia.org/resource/Mega_Man_Powered_Up","Mega Man Powered Up"
"Capcom","http://dbpedia.org/resource/Mega_Man_Soccer","Mega Man Soccer"
"Capcom","http://dbpedia.org/resource/Mega_Man_Star_Force","Mega Man Star Force"
"Capcom","http://dbpedia.org/resource/Mega_Man_Star_Force_2","Mega Man Star Force 2"
"Capcom","http://dbpedia.org/resource/Mega_Man_Star_Force_3","Mega Man Star Force 3"
"Capcom","http://dbpedia.org/resource/Mega_Man_Universe","Mega Man Universe"
"Capcom","http://dbpedia.org/resource/Mega_Man_V_(Game_Boy)","Mega Man V (Game Boy)"
"Capcom","http://dbpedia.org/resource/Mega_Man_X_(video_game)","Mega Man X (video game)"
"Capcom","http://dbpedia.org/resource/Mega_Man_X_Collection","Mega Man X Collection"
"Capcom","http://dbpedia.org/resource/Mega_Man_X5","Mega Man X5"
"Capcom","http://dbpedia.org/resource/Mega_Man_X6","Mega Man X6"
"Capcom","http://dbpedia.org/resource/Mega_Man_X7","Mega Man X7"
"Capcom","http://dbpedia.org/resource/Mega_Man_X8","Mega Man X8"
