"game","name","releaseDate","developer","publisher","platform","genre","series","countryOfOrigin","mainSubject","officialWebsite","designer","composer","character","gameMode"
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/PlayStation_4","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2005-12-08,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Linux","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2008-11-21,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Linux","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2009-12-11,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Linux","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2020-11-05,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Linux","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2005-12-08,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2008-11-21,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2009-12-11,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2020-11-05,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2005-12-08,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/OS_X","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2008-11-21,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/OS_X","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2009-12-11,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/OS_X","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2020-11-05,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/OS_X","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2005-12-08,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2008-11-21,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
"http://dbpedia.org/resource/Samorost_2","Samorost 2",2009-12-11,"http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/Amanita_Design","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/Samorost",,,"http://amanita-design.net/samorost-2/","http://dbpedia.org/resource/Jakub_Dvorský","http://dbpedia.org/resource/Floex",,
